Month_Ending,FY_Start_Date,FY_End_Date,PARTYEAR,Age_Band,FCE,FCEs_With_Procedure,Ordinary_Admission_Episodes,FCE_DAY_CASES,FCE_DAY_WITH_PROCEDURE,FAE,EMERGENCY,Total_Appointments,Attended_Appointments,DNA_Appointments,First_Attendance,Follow_Up_Attendance
28FEB2025,01APR2024,31MAR2025,202499,09. 20 - 24,49778,25255,35760,14018,12915,44963,16363,375017,279248,34880,98503,180694
28FEB2025,01APR2024,31MAR2025,202499,10. 25 - 29,73945,39084,54068,19877,18386,67724,20168,587903,444183,46135,154090,290004
28FEB2025,01APR2024,31MAR2025,202499,11. 30 - 34,91499,50817,65760,25739,23823,83701,23540,762603,580574,53666,196974,383485
28FEB2025,01APR2024,31MAR2025,202499,12. 35 - 39,84178,50564,53929,30249,28091,75703,23660,714408,539326,49883,188800,350383
28FEB2025,01APR2024,31MAR2025,202499,13. 40 - 44,74176,48521,39932,34244,32056,65155,22262,601325,451401,41999,166853,284416
28FEB2025,01APR2024,31MAR2025,202499,14. 45 - 49,71873,48784,35884,35989,33696,62174,20828,576239,436644,36873,158658,277846
28FEB2025,01APR2024,31MAR2025,202499,15. 50 - 54,90585,63330,43786,46799,44007,77695,24047,708061,545465,39595,191348,353928
28FEB2025,01APR2024,31MAR2025,202499,16. 55 - 59,115010,81385,55100,59910,56294,97141,28180,861224,671757,42211,225279,446284
28FEB2025,01APR2024,31MAR2025,202499,17. 60 - 64,135021,95086,65935,69086,64920,112492,32173,953050,753381,39509,242336,510862
28FEB2025,01APR2024,31MAR2025,202499,18. 65 - 69,140330,98367,69622,70708,66649,114745,32156,920916,738550,32255,229719,508664
28FEB2025,01APR2024,31MAR2025,202499,19. 70 - 74,148529,101697,76301,72228,68111,118519,34460,902487,730427,27307,223439,506836
28FEB2025,01APR2024,31MAR2025,202499,20. 75 - 79,177793,115601,98503,79290,74649,136689,45215,990282,802887,27964,243242,559496
28FEB2025,01APR2024,31MAR2025,202499,21. 80 - 84,141206,83095,89262,51944,48797,101094,41369,706126,566401,22685,171084,395217
28FEB2025,01APR2024,31MAR2025,202499,22. 85 - 89,103642,51170,77561,26081,24258,66233,36225,432350,340201,16389,103102,237051
28FEB2025,01APR2024,31MAR2025,202499,23. 90+,64674,25261,56061,8613,7959,36792,26502,203637,156402,8814,45239,111151
28FEB2025,01APR2024,31MAR2025,202499,24. unknown,21553,13167,14271,7282,6818,17543,3923,46339,38565,2405,11953,26599
31JAN2025,01APR2024,31MAR2025,202499,01. 0 - 4,108800,28307,97578,11222,9612,100525,38521,389503,298062,28220,128403,169634
31JAN2025,01APR2024,31MAR2025,202499,02. 5 - 9,28344,15849,15561,12783,11561,26941,11726,323793,242790,23126,80886,161815
31JAN2025,01APR2024,31MAR2025,202499,03. 10 - 14,27138,16169,15296,11842,10807,25621,11220,357791,273717,23188,86426,187221
31JAN2025,01APR2024,31MAR2025,202499,04. 15,6602,3888,3801,2801,2579,6264,2816,91810,69638,6094,20177,49451
31JAN2025,01APR2024,31MAR2025,202499,05. 16,6755,4011,3813,2942,2718,6189,2596,89641,67362,6440,18628,48721
31JAN2025,01APR2024,31MAR2025,202499,06. 17,6958,3948,4196,2762,2559,6311,2657,85436,63774,6858,18284,45472
31JAN2025,01APR2024,31MAR2025,202499,07. 18,7824,4014,5248,2576,2362,6924,3073,73489,53966,6907,17494,36466
31JAN2025,01APR2024,31MAR2025,202499,08. 19,8371,4239,5824,2547,2331,7482,3078,70725,51637,7056,17324,34307
31JAN2025,01APR2024,31MAR2025,202499,09. 20 - 24,52961,27183,38019,14942,13693,48010,17140,419108,311366,40189,108127,203214
31JAN2025,01APR2024,31MAR2025,202499,10. 25 - 29,79106,42181,57486,21620,20040,72561,21195,656243,496672,53131,171944,324695
31JAN2025,01APR2024,31MAR2025,202499,11. 30 - 34,98935,55500,70554,28381,26345,90772,25144,849856,647864,60827,217847,429970
31JAN2025,01APR2024,31MAR2025,202499,12. 35 - 39,91390,55534,58055,33335,31087,82726,25413,798483,604141,56705,209992,394078
31JAN2025,01APR2024,31MAR2025,202499,13. 40 - 44,80049,52502,43106,36943,34513,70481,24262,670115,502992,48360,182780,320134
31JAN2025,01APR2024,31MAR2025,202499,14. 45 - 49,77246,52558,38233,39013,36553,67060,22468,639460,484496,41880,174180,310219
31JAN2025,01APR2024,31MAR2025,202499,15. 50 - 54,99839,69269,48628,51211,48063,85157,26986,786611,604684,45677,209564,395005
31JAN2025,01APR2024,31MAR2025,202499,16. 55 - 59,126202,88722,61233,64969,61127,106553,31949,955247,742592,49528,246678,495753
31JAN2025,01APR2024,31MAR2025,202499,17. 60 - 64,147331,103205,72215,75116,70364,122403,35651,1056354,832941,46751,265384,567380
31JAN2025,01APR2024,31MAR2025,202499,18. 65 - 69,152340,106517,75708,76632,72151,124186,35667,1018545,813772,38511,250407,563215
31JAN2025,01APR2024,31MAR2025,202499,19. 70 - 74,163473,111456,84608,78865,74526,129497,38810,998231,804526,32668,243186,561195
31JAN2025,01APR2024,31MAR2025,202499,20. 75 - 79,195918,127034,109322,86596,81677,149379,50534,1094988,882040,34367,263089,618819
31JAN2025,01APR2024,31MAR2025,202499,21. 80 - 84,159625,91301,103330,56295,52893,111910,47851,779617,619280,27765,184202,434984
31JAN2025,01APR2024,31MAR2025,202499,22. 85 - 89,116828,56859,88555,28273,26364,73964,41481,480377,372788,20733,110808,261928
31JAN2025,01APR2024,31MAR2025,202499,23. 90+,73966,28814,64514,9452,8683,41789,30422,225922,171523,10663,49338,122161
31JAN2025,01APR2024,31MAR2025,202499,24. unknown,23431,13683,16086,7345,6830,18794,4532,51053,41945,3059,13326,28599
31DEC2024,01APR2024,31MAR2025,202499,01. 0 - 4,118736,29066,108885,9851,8236,109463,49878,333821,251173,25730,111328,139798
31DEC2024,01APR2024,31MAR2025,202499,02. 5 - 9,27055,13538,16368,10687,9515,25714,12977,269144,193769,21402,67110,126584
31DEC2024,01APR2024,31MAR2025,202499,03. 10 - 14,23300,14136,13018,10282,9402,22081,9493,302303,226143,21183,74086,151972
31DEC2024,01APR2024,31MAR2025,202499,04. 15,5763,3600,3272,2491,2310,5418,2299,78138,58044,5577,17623,40414
31DEC2024,01APR2024,31MAR2025,202499,05. 16,6118,3768,3413,2705,2501,5631,2260,76316,56538,5960,16372,40143
31DEC2024,01APR2024,31MAR2025,202499,06. 17,6469,3668,3948,2521,2306,5805,2442,71400,52339,6268,15576,36750
31DEC2024,01APR2024,31MAR2025,202499,07. 18,7600,3925,5148,2452,2250,6691,2990,63483,45704,6284,15071,30632
31DEC2024,01APR2024,31MAR2025,202499,08. 19,8108,4026,5772,2336,2139,7234,3071,62130,44743,6561,15372,29365
31DEC2024,01APR2024,31MAR2025,202499,09. 20 - 24,49482,25060,36468,13014,11877,44650,16546,365893,268363,36775,93105,175226
31DEC2024,01APR2024,31MAR2025,202499,10. 25 - 29,73711,38699,55655,18056,16662,67238,20775,573419,426951,49443,146805,280040
31DEC2024,01APR2024,31MAR2025,202499,11. 30 - 34,91880,50703,67754,24126,22396,83786,24193,740320,556951,55263,186381,370465
31DEC2024,01APR2024,31MAR2025,202499,12. 35 - 39,83812,49481,55903,27909,26020,75086,24277,683626,508725,51308,175818,332768
31DEC2024,01APR2024,31MAR2025,202499,13. 40 - 44,72845,46713,41031,31814,29783,63570,23212,568934,419235,42945,153652,265464
31DEC2024,01APR2024,31MAR2025,202499,14. 45 - 49,70651,46873,37161,33490,31343,60467,22046,539999,403199,37373,146505,256572
31DEC2024,01APR2024,31MAR2025,202499,15. 50 - 54,90853,61613,46960,43893,41157,76309,26090,668923,507746,40678,176584,330999
31DEC2024,01APR2024,31MAR2025,202499,16. 55 - 59,115502,79016,59439,56063,52632,96039,31406,813629,625267,42980,208390,416700
31DEC2024,01APR2024,31MAR2025,202499,17. 60 - 64,135541,92756,70663,64878,61035,110814,35276,896509,699787,40191,224793,474839
31DEC2024,01APR2024,31MAR2025,202499,18. 65 - 69,141142,95985,74800,66342,62571,113222,35824,869736,689370,33201,213861,475405
31DEC2024,01APR2024,31MAR2025,202499,19. 70 - 74,151819,100074,84075,67744,63863,118434,39447,855111,683482,27438,208070,475326
31DEC2024,01APR2024,31MAR2025,202499,20. 75 - 79,182031,113990,108658,73373,69230,136361,51144,939594,750970,28539,224458,526429
31DEC2024,01APR2024,31MAR2025,202499,21. 80 - 84,147747,82005,100264,47483,44516,102524,47603,664903,524998,23168,156268,368697
31DEC2024,01APR2024,31MAR2025,202499,22. 85 - 89,110877,52914,86677,24200,22482,69741,41406,412885,319489,16999,94206,225265
31DEC2024,01APR2024,31MAR2025,202499,23. 90+,70864,27272,62814,8050,7450,40126,30187,193496,146807,8742,41709,105082
31DEC2024,01APR2024,31MAR2025,202499,24. unknown,21625,12370,15339,6286,5769,17088,4564,41761,33910,2500,10100,23810
30NOV2024,01APR2024,31MAR2025,202499,01. 0 - 4,123270,29574,112717,10553,8773,113981,52907,379711,292106,27526,129880,162200
30NOV2024,01APR2024,31MAR2025,202499,02. 5 - 9,28451,15673,15955,12496,11198,27065,12144,321717,242168,22913,81942,160163
30NOV2024,01APR2024,31MAR2025,202499,03. 10 - 14,25671,15652,14325,11346,10346,24272,10364,356365,273268,23149,88474,184730
30NOV2024,01APR2024,31MAR2025,202499,04. 15,6296,3832,3552,2744,2519,5930,2539,90632,67582,6405,20144,47421
30NOV2024,01APR2024,31MAR2025,202499,05. 16,6662,4034,3771,2891,2660,6087,2517,86330,64209,6574,18223,45967
30NOV2024,01APR2024,31MAR2025,202499,06. 17,7199,4152,4372,2827,2590,6465,2710,82373,61528,6693,17969,43550
30NOV2024,01APR2024,31MAR2025,202499,07. 18,8123,4113,5500,2623,2374,7143,3314,68154,49530,6777,16605,32922
30NOV2024,01APR2024,31MAR2025,202499,08. 19,8689,4224,6298,2391,2189,7704,3504,66315,48438,6814,16851,31584
30NOV2024,01APR2024,31MAR2025,202499,09. 20 - 24,52907,26814,38747,14160,12989,47251,18112,398880,296566,39704,104886,191662
30NOV2024,01APR2024,31MAR2025,202499,10. 25 - 29,77023,41318,56694,20329,18807,70179,21462,616908,465624,51717,162800,302802
30NOV2024,01APR2024,31MAR2025,202499,11. 30 - 34,96845,54567,70182,26663,24688,87990,25105,799512,609677,58172,206401,403243
30NOV2024,01APR2024,31MAR2025,202499,12. 35 - 39,89274,53998,57571,31703,29454,80060,25226,747692,565356,54928,197200,368126
30NOV2024,01APR2024,31MAR2025,202499,13. 40 - 44,78583,51301,42924,35659,33395,68629,23822,635944,479032,46444,176653,302328
30NOV2024,01APR2024,31MAR2025,202499,14. 45 - 49,76511,51834,38784,37727,35340,65752,22303,606205,461765,40540,167996,293709
30NOV2024,01APR2024,31MAR2025,202499,15. 50 - 54,97438,67723,48138,49300,46308,83112,26410,751220,580535,43744,202865,377583
30NOV2024,01APR2024,31MAR2025,202499,16. 55 - 59,123101,86919,60143,62958,59135,103782,30913,908833,709078,46941,238294,470656
30NOV2024,01APR2024,31MAR2025,202499,17. 60 - 64,143430,101177,70756,72674,68356,119093,34556,999226,790836,43796,255444,535285
30NOV2024,01APR2024,31MAR2025,202499,18. 65 - 69,148420,104544,74297,74123,69824,121321,34475,969107,778953,35727,243146,535710
30NOV2024,01APR2024,31MAR2025,202499,19. 70 - 74,160232,110211,83212,77020,72663,127894,38163,957012,777032,29992,239695,537265
30NOV2024,01APR2024,31MAR2025,202499,20. 75 - 79,189344,124370,105189,84155,79475,145974,48542,1051043,855052,31098,259285,595692
30NOV2024,01APR2024,31MAR2025,202499,21. 80 - 84,149917,88943,95033,54884,51572,108006,44690,741280,596879,24596,181608,415214
30NOV2024,01APR2024,31MAR2025,202499,22. 85 - 89,110200,56062,81880,28320,26420,71661,38851,459446,362957,18085,110300,252627
30NOV2024,01APR2024,31MAR2025,202499,23. 90+,68030,27662,58706,9324,8607,39538,28373,214181,165932,9533,48063,117860
30NOV2024,01APR2024,31MAR2025,202499,24. unknown,22749,13627,15282,7467,6997,18197,4367,48973,40287,2746,11226,29061
31OCT2024,01APR2024,31MAR2025,202499,01. 0 - 4,119191,29157,107861,11330,9599,110593,44973,394300,302988,28649,131881,171062
31OCT2024,01APR2024,31MAR2025,202499,02. 5 - 9,30474,17137,16769,13705,12270,28993,12482,338719,253572,25283,85777,167703
31OCT2024,01APR2024,31MAR2025,202499,03. 10 - 14,27706,16979,15401,12305,11246,26155,11086,379429,289672,25490,96224,193333
31OCT2024,01APR2024,31MAR2025,202499,04. 15,7027,4141,4024,3003,2770,6608,2948,95853,72487,6721,21688,50773
31OCT2024,01APR2024,31MAR2025,202499,05. 16,7151,4394,4037,3114,2881,6560,2708,92157,67884,7366,19312,48560
31OCT2024,01APR2024,31MAR2025,202499,06. 17,7543,4294,4548,2995,2725,6799,2955,86096,63866,7402,19292,44562
31OCT2024,01APR2024,31MAR2025,202499,07. 18,8187,4129,5609,2578,2348,7165,3410,71973,51220,7446,17114,34102
31OCT2024,01APR2024,31MAR2025,202499,08. 19,9198,4462,6651,2547,2301,8092,3677,70678,51115,7429,17623,33488
31OCT2024,01APR2024,31MAR2025,202499,09. 20 - 24,55338,28519,39978,15360,14192,49612,19052,425368,315241,41999,110927,204296
31OCT2024,01APR2024,31MAR2025,202499,10. 25 - 29,82059,44327,60263,21796,20135,74615,23124,665588,500791,55344,173681,327086
31OCT2024,01APR2024,31MAR2025,202499,11. 30 - 34,102989,58688,74332,28657,26556,93992,27251,861662,655075,62675,220312,434734
31OCT2024,01APR2024,31MAR2025,202499,12. 35 - 39,92969,56524,60198,32771,30369,83403,26480,799431,601561,58794,209428,392090
31OCT2024,01APR2024,31MAR2025,202499,13. 40 - 44,81755,53379,45006,36749,34408,71538,25444,674848,503722,49577,184875,318807
31OCT2024,01APR2024,31MAR2025,202499,14. 45 - 49,79678,53732,40489,39189,36503,68701,23689,640343,484010,42879,175361,308587
31OCT2024,01APR2024,31MAR2025,202499,15. 50 - 54,101940,70971,50307,51633,48410,87212,27871,803002,616273,47065,215252,400940
31OCT2024,01APR2024,31MAR2025,202499,16. 55 - 59,129466,90952,63484,65982,61895,109230,33064,972818,755716,49926,252546,503028
31OCT2024,01APR2024,31MAR2025,202499,17. 60 - 64,150636,106565,74154,76482,71848,125510,36522,1072212,845596,47050,272436,573038
31OCT2024,01APR2024,31MAR2025,202499,18. 65 - 69,155047,109052,77065,77982,73401,127164,36121,1037747,830812,38353,258217,572498
31OCT2024,01APR2024,31MAR2025,202499,19. 70 - 74,169072,116275,87687,81385,76871,134758,40027,1030724,832566,32164,254903,577569
31OCT2024,01APR2024,31MAR2025,202499,20. 75 - 79,199993,132078,110420,89573,84439,154878,51097,1135760,919840,33285,279728,640020
31OCT2024,01APR2024,31MAR2025,202499,21. 80 - 84,157436,93743,99112,58324,54867,113968,47028,800387,642709,26537,196045,446604
31OCT2024,01APR2024,31MAR2025,202499,22. 85 - 89,115087,58917,85005,30082,28066,75228,40431,496587,391565,19555,119081,272432
31OCT2024,01APR2024,31MAR2025,202499,23. 90+,70384,28735,60350,10034,9284,41073,29161,231913,179059,10471,52012,127026
31OCT2024,01APR2024,31MAR2025,202499,24. unknown,23755,14483,15932,7823,7354,19288,4466,55517,46292,2970,14856,31434
30SEP2024,01APR2024,31MAR2025,202499,01. 0 - 4,106474,26511,96139,10335,8783,98943,36165,360291,274984,26994,119614,155348
30SEP2024,01APR2024,31MAR2025,202499,02. 5 - 9,29357,16076,16813,12544,11255,27883,12800,318094,238036,23974,81545,156453
30SEP2024,01APR2024,31MAR2025,202499,03. 10 - 14,25907,15281,15224,10683,9722,24481,11357,345661,261809,23804,85710,176056
30SEP2024,01APR2024,31MAR2025,202499,04. 15,6588,3865,3957,2631,2454,6191,2901,88142,67081,6090,19804,47268
30SEP2024,01APR2024,31MAR2025,202499,05. 16,6658,4046,3862,2796,2570,6068,2524,83327,59870,7081,16514,43347
30SEP2024,01APR2024,31MAR2025,202499,06. 17,6957,3853,4360,2597,2370,6209,2757,79965,59112,6923,17280,41820
30SEP2024,01APR2024,31MAR2025,202499,07. 18,7870,4136,5322,2548,2340,6922,3188,67942,48923,6849,15839,33082
30SEP2024,01APR2024,31MAR2025,202499,08. 19,8633,4267,6232,2401,2195,7610,3367,65915,47822,6892,16235,31586
30SEP2024,01APR2024,31MAR2025,202499,09. 20 - 24,52626,27351,38439,14187,13115,47116,18063,394147,290835,39599,102086,188740
30SEP2024,01APR2024,31MAR2025,202499,10. 25 - 29,78853,42488,58881,19972,18421,71557,22300,616595,462393,53088,159900,302479
30SEP2024,01APR2024,31MAR2025,202499,11. 30 - 34,97735,55363,71658,26077,24209,89284,25634,797700,604101,59608,202744,401342
30SEP2024,01APR2024,31MAR2025,202499,12. 35 - 39,88606,53806,58159,30447,28368,79489,25618,741645,556576,56144,193863,362679
30SEP2024,01APR2024,31MAR2025,202499,13. 40 - 44,77894,51027,42869,35025,32746,67997,24157,625558,466143,47271,171767,294349
30SEP2024,01APR2024,31MAR2025,202499,14. 45 - 49,75626,51242,38943,36683,34328,64983,22779,597322,450074,41376,163950,286080
30SEP2024,01APR2024,31MAR2025,202499,15. 50 - 54,95938,66429,48019,47919,44897,81528,26543,740884,565057,44802,197775,367201
30SEP2024,01APR2024,31MAR2025,202499,16. 55 - 59,118564,83444,58815,59749,56199,99564,30430,887218,684553,47064,229034,455416
30SEP2024,01APR2024,31MAR2025,202499,17. 60 - 64,137493,97088,68299,69194,65040,114287,33727,970074,759396,43996,245055,514241
30SEP2024,01APR2024,31MAR2025,202499,18. 65 - 69,142257,99845,71822,70435,66289,116063,34033,940365,748228,35496,232776,515365
30SEP2024,01APR2024,31MAR2025,202499,19. 70 - 74,155272,106648,81482,73790,69743,123504,37721,937616,755063,29603,232237,522747
30SEP2024,01APR2024,31MAR2025,202499,20. 75 - 79,184372,121886,102420,81952,77442,142015,47323,1033491,833973,31264,253752,580167
30SEP2024,01APR2024,31MAR2025,202499,21. 80 - 84,146083,87124,92516,53567,50415,105059,43543,730835,586309,24556,178706,407552
30SEP2024,01APR2024,31MAR2025,202499,22. 85 - 89,107851,55452,79653,28198,26307,70372,37924,455825,359761,18273,109660,250067
30SEP2024,01APR2024,31MAR2025,202499,23. 90+,64823,27041,55691,9132,8424,37875,26913,212204,164402,9478,47979,116403
30SEP2024,01APR2024,31MAR2025,202499,24. unknown,21305,12960,14091,7214,6761,17184,4207,46760,39009,2476,11488,27521
31AUG2024,01APR2024,31MAR2025,202499,01. 0 - 4,100605,27020,89959,10646,9129,93244,29340,340730,259767,26163,110670,149066
31AUG2024,01APR2024,31MAR2025,202499,02. 5 - 9,24773,15851,12886,11887,10711,23635,9336,286741,203230,25991,72622,130537
31AUG2024,01APR2024,31MAR2025,202499,03. 10 - 14,23050,15089,12286,10764,9856,21798,8539,300976,215524,25398,68896,146556
31AUG2024,01APR2024,31MAR2025,202499,04. 15,5801,3708,3213,2588,2405,5498,2184,75919,54301,6432,15439,38843
31AUG2024,01APR2024,31MAR2025,202499,05. 16,6739,4267,3712,3027,2795,6187,2360,77081,55004,6799,14959,40024
31AUG2024,01APR2024,31MAR2025,202499,06. 17,6699,3772,4155,2544,2331,6022,2622,71028,51297,6545,14735,36544
31AUG2024,01APR2024,31MAR2025,202499,07. 18,7877,4195,5228,2649,2431,7056,3148,64740,46481,6511,15105,31371
31AUG2024,01APR2024,31MAR2025,202499,08. 19,8711,4436,6264,2447,2276,7746,3353,62927,45727,6427,15482,30244
31AUG2024,01APR2024,31MAR2025,202499,09. 20 - 24,53986,27583,40012,13974,12840,48306,18884,378273,279431,37349,97482,181933
31AUG2024,01APR2024,31MAR2025,202499,10. 25 - 29,80101,42671,60146,19955,18456,72771,22916,595036,450176,48935,155271,294880
31AUG2024,01APR2024,31MAR2025,202499,11. 30 - 34,97816,55118,72316,25500,23723,89197,26302,763788,580468,56196,193643,386800
31AUG2024,01APR2024,31MAR2025,202499,12. 35 - 39,86543,51955,57587,28956,26951,77292,25429,693645,516616,53463,178890,337699
31AUG2024,01APR2024,31MAR2025,202499,13. 40 - 44,74221,47957,42050,32171,30046,64632,23741,570333,416391,44987,152009,264338
31AUG2024,01APR2024,31MAR2025,202499,14. 45 - 49,72553,48587,38249,34304,32149,62006,22507,545060,402970,39013,146546,256371
31AUG2024,01APR2024,31MAR2025,202499,15. 50 - 54,95132,65578,48556,46576,43578,80591,27081,690042,523557,42112,183971,339529
31AUG2024,01APR2024,31MAR2025,202499,16. 55 - 59,120241,84547,59975,60266,56735,101344,31705,842995,652675,43850,219026,433542
31AUG2024,01APR2024,31MAR2025,202499,17. 60 - 64,138821,98216,68726,70095,65893,116128,35036,924503,728645,40531,236052,492501
31AUG2024,01APR2024,31MAR2025,202499,18. 65 - 69,144769,101956,73320,71449,67369,118502,35105,900862,721410,32939,225630,495672
31AUG2024,01APR2024,31MAR2025,202499,19. 70 - 74,158473,108756,83189,75284,71153,126604,39205,898903,728253,27819,223723,504463
31AUG2024,01APR2024,31MAR2025,202499,20. 75 - 79,188357,123939,105461,82896,78397,145798,49863,990712,804824,28260,245658,559110
31AUG2024,01APR2024,31MAR2025,202499,21. 80 - 84,147371,87722,93402,53969,50794,106358,44588,700469,564162,22872,172804,391310
31AUG2024,01APR2024,31MAR2025,202499,22. 85 - 89,106668,55147,78703,27965,26081,70219,38041,436736,346903,16609,106684,240198
31AUG2024,01APR2024,31MAR2025,202499,23. 90+,63959,26548,54795,9164,8447,37654,26714,205515,160375,8632,46562,113799
31AUG2024,01APR2024,31MAR2025,202499,24. unknown,21177,12904,14333,6844,6425,17167,4293,51761,42852,2840,11600,31252
31JUL2024,01APR2024,31MAR2025,202499,01. 0 - 4,108550,28119,97041,11509,9690,101008,36525,395191,301201,29565,128253,172912
31JUL2024,01APR2024,31MAR2025,202499,02. 5 - 9,30162,17342,17025,13137,11822,28737,12910,342270,250785,27256,89647,161067
31JUL2024,01APR2024,31MAR2025,202499,03. 10 - 14,26913,16283,15446,11467,10433,25381,11268,373675,275894,27958,91873,183968
31JUL2024,01APR2024,31MAR2025,202499,04. 15,6288,3889,3572,2716,2520,5951,2539,91352,66112,7203,19431,46672
31JUL2024,01APR2024,31MAR2025,202499,05. 16,6851,4480,3534,3317,3075,6321,2174,89607,63596,7910,17026,46563
31JUL2024,01APR2024,31MAR2025,202499,06. 17,7176,4130,4273,2903,2660,6426,2648,81694,59398,7217,17082,42312
31JUL2024,01APR2024,31MAR2025,202499,07. 18,8139,4350,5400,2739,2514,7205,3202,72058,51130,7290,16242,34884
31JUL2024,01APR2024,31MAR2025,202499,08. 19,8881,4571,6249,2632,2425,7934,3478,70159,50866,7425,17117,33749
31JUL2024,01APR2024,31MAR2025,202499,09. 20 - 24,55051,28176,40048,15003,13700,49691,19137,418158,307386,41743,107490,199884
31JUL2024,01APR2024,31MAR2025,202499,10. 25 - 29,83306,44355,61956,21350,19708,75897,23888,659860,496150,54876,172005,324125
31JUL2024,01APR2024,31MAR2025,202499,11. 30 - 34,101727,57258,74361,27366,25383,92547,27311,849219,643276,62850,216745,426513
31JUL2024,01APR2024,31MAR2025,202499,12. 35 - 39,91273,55296,59656,31617,29413,81829,26805,781538,583979,58874,204585,379362
31JUL2024,01APR2024,31MAR2025,202499,13. 40 - 44,80302,52074,44602,35700,33339,70119,25508,657487,486774,49422,178914,307824
31JUL2024,01APR2024,31MAR2025,202499,14. 45 - 49,77312,52252,39690,37622,35268,66311,23429,624024,465886,43288,169194,296639
31JUL2024,01APR2024,31MAR2025,202499,15. 50 - 54,101253,70014,50562,50691,47600,85922,28352,785001,597201,47225,209024,388101
31JUL2024,01APR2024,31MAR2025,202499,16. 55 - 59,128196,90076,63462,64734,60865,107581,33114,949744,733761,49632,245917,487723
31JUL2024,01APR2024,31MAR2025,202499,17. 60 - 64,146406,103841,71895,74511,70090,122209,36226,1037534,816705,46015,263851,552755
31JUL2024,01APR2024,31MAR2025,202499,18. 65 - 69,154564,108849,77284,77280,72868,126461,36696,1013061,810751,36896,252145,558491
31JUL2024,01APR2024,31MAR2025,202499,19. 70 - 74,169301,116490,87474,81827,77403,135070,40733,1009543,816700,31271,251597,565028
31JUL2024,01APR2024,31MAR2025,202499,20. 75 - 79,200142,132135,110469,89673,84768,154551,51546,1109354,900425,32188,274229,626133
31JUL2024,01APR2024,31MAR2025,202499,21. 80 - 84,155870,92903,98547,57323,54025,112178,46487,774944,623168,25604,191153,431965
31JUL2024,01APR2024,31MAR2025,202499,22. 85 - 89,114669,58645,84489,30180,28170,74599,39815,485218,383320,19035,117664,265630
31JUL2024,01APR2024,31MAR2025,202499,23. 90+,67829,28060,58047,9782,9042,39510,27869,223903,173785,9818,51082,122690
31JUL2024,01APR2024,31MAR2025,202499,24. unknown,22808,14247,15158,7650,7158,18365,4463,60378,50042,3172,13083,36959
30JUN2024,01APR2024,31MAR2025,202499,01. 0 - 4,102819,26436,92378,10441,8900,95517,34919,364445,279263,27334,118883,160348
30JUN2024,01APR2024,31MAR2025,202499,02. 5 - 9,29370,16088,17447,11923,10663,27974,13461,315052,236446,23465,84350,152025
30JUN2024,01APR2024,31MAR2025,202499,03. 10 - 14,27075,15590,16495,10580,9649,25567,12428,342561,259916,23762,86608,173236
30JUN2024,01APR2024,31MAR2025,202499,04. 15,5967,3383,3705,2262,2087,5633,2775,81268,58844,6226,17179,41653
30JUN2024,01APR2024,31MAR2025,202499,05. 16,5584,3200,3360,2224,2042,5079,2273,78311,53517,7103,14820,38686
30JUN2024,01APR2024,31MAR2025,202499,06. 17,6574,3621,4168,2406,2178,5921,2678,73832,53325,6878,15642,37677
30JUN2024,01APR2024,31MAR2025,202499,07. 18,7189,3588,5083,2106,1929,6293,3048,63953,45134,6692,14722,30409
30JUN2024,01APR2024,31MAR2025,202499,08. 19,8423,4172,6106,2317,2121,7497,3365,63090,45535,6789,15507,30022
30JUN2024,01APR2024,31MAR2025,202499,09. 20 - 24,51604,25849,38370,13234,12116,46364,18256,376984,277462,37685,97382,180074
30JUN2024,01APR2024,31MAR2025,202499,10. 25 - 29,77564,41077,58685,18879,17409,70684,22731,589277,441506,50060,153204,288285
30JUN2024,01APR2024,31MAR2025,202499,11. 30 - 34,94767,53279,69798,24969,23164,86449,26042,759856,575096,56413,194915,380153
30JUN2024,01APR2024,31MAR2025,202499,12. 35 - 39,87049,52301,57548,29501,27498,78168,26142,701449,526187,52466,185068,341082
30JUN2024,01APR2024,31MAR2025,202499,13. 40 - 44,76198,49433,42710,33488,31296,66669,24665,597058,445596,44296,165139,280420
30JUN2024,01APR2024,31MAR2025,202499,14. 45 - 49,73190,49265,38287,34903,32583,63144,22883,567674,428634,38365,157434,271137
30JUN2024,01APR2024,31MAR2025,202499,15. 50 - 54,94284,65074,47790,46494,43613,80299,26932,712206,544506,42493,192073,352347
30JUN2024,01APR2024,31MAR2025,202499,16. 55 - 59,116497,82020,58466,58031,54529,98104,30900,858546,664378,44713,224568,439701
30JUN2024,01APR2024,31MAR2025,202499,17. 60 - 64,133100,93535,66854,66246,62236,110907,33520,929621,729636,41134,236839,492690
30JUN2024,01APR2024,31MAR2025,202499,18. 65 - 69,140877,98617,72137,68740,64830,114973,34608,903718,719599,33842,225042,494467
30JUN2024,01APR2024,31MAR2025,202499,19. 70 - 74,154615,105517,81712,72903,68827,122938,38286,903745,728459,28416,224712,503684
30JUN2024,01APR2024,31MAR2025,202499,20. 75 - 79,183808,120228,103610,80198,75604,141738,48968,995990,805059,29618,246445,558549
30JUN2024,01APR2024,31MAR2025,202499,21. 80 - 84,145153,85818,93068,52085,48994,104046,44126,695035,557036,23674,170883,386106
30JUN2024,01APR2024,31MAR2025,202499,22. 85 - 89,105655,53603,78998,26657,24925,68875,38052,433304,341711,17057,104601,237081
