CALENDAR_MONTH_END_DATE,APC_Finished_Consultant,APC_FCEs_with_a_procedure,APC_Percent_FCEs_with_procedure,APC_Ordinary_Episodes,APC_Day_Case_Episodes,APC_Day_Case_Episodes_with_proc,APC_Percent_Day_Cases_with_proc,APC_Finished_Admission_Episodes,APC_Emergency,Outpatient_Total_Appointments,Outpatient_Attended_Appointments,Outpatient_Percent_Attended,Outpatient_DNA_Appointment,Outpatient_Percent_DNA,Outpatient_Follow_Up_Attendance,Outpatient_Attendance_Type_1,Outpatient_Attendance_Type_2
22-Sep,1649802,1008170,0.61,1029335,620467,582576,0.94,1358340,488151,10518699,8018502,0.76,691184,0.07,2.1358059,2556060,5459248
22-Aug,1656938,1012816,0.61,1036926,620012,581952,0.94,1356967,489284,10215681,7894194,0.77,668391,0.07,2.1280271,2522700,5368374
22-Jul,1634051,984842,0.6,1039296,594755,557578,0.94,1340215,494530,10010795,7652409,0.76,672358,0.07,2.1119312,2458127,5191395
22-Jun,1628785,978333,0.6,1040393,588392,552582,0.94,1335639,502526,10161122,7831709,0.77,673929,0.07,2.1219361,2508339,5322535
22-May,1711918,1031365,0.6,1086088,625830,587559,0.94,1400698,523876,10844914,8451861,0.78,702403,0.06,2.1102064,2716865,5733146
22-Apr,1558069,922584,0.59,1011366,546703,512434,0.94,1264651,485949,9591089,7376175,0.77,615121,0.06,2.1398296,2339926,5007043
22-Mar,1714165,1019991,0.6,1086650,627515,587235,0.94,1403590,521570,11206222,8641874,0.77,714730,0.06,2.1413806,2740503,5868460
22-Feb,1527414,915751,0.6,970994,556420,522051,0.94,1248255,468013,9748168,7577241,0.78,613623,0.06,2.1320215,2409714,5137562
22-Jan,1550474,911186,0.59,1013330,537144,505222,0.94,1253544,491883,10101936,7791647,0.77,672930,0.07,2.2037309,2422347,5338201
21-Dec,1569820,915055,0.58,1045139,524681,492241,0.94,1267107,505324,9482082,7255171,0.77,637370,0.07,2.2034347,2255584,4970032
21-Nov,1687544,1010573,0.6,1080242,607302,571296,0.94,1377678,518718,11034814,8654650,0.78,718968,0.07,2.1702533,2720288,5903714
21-Oct,1647989,968969,0.59,1081821,566168,532212,0.94,1345030,521829,10125522,7894460,0.78,657036,0.06,2.1434476,2502621,5364237
21-Sep,1654077,979044,0.59,1075546,578531,544688,0.94,1352229,518876,10660601,8282386,0.78,703752,0.07,2.1711656,2602923,5651377
21-Aug,1600590,935142,0.58,1064311,536279,505602,0.94,1297660,512354,9611480,7442768,0.77,624758,0.07,2.1912527,2324009,5092491
21-Jul,1704980,1006683,0.59,1119816,585164,551613,0.94,1390224,539307,10404901,8079610,0.78,673882,0.06,2.1698901,2539860,5511217
21-Jun,1725395,1024047,0.59,1118939,606456,571548,0.94,1408450,546592,10728660,8478081,0.79,678912,0.06,2.1690591,2666215,5783178
21-May,1655379,965251,0.58,1106721,548658,517627,0.94,1348199,545624,9619031,7718730,0.8,570172,0.06,2.1782076,2428549,5289884
